GEO_ID,NAME,totalHHS,hascomputer,dialup,broadband,nointernet,nocomputer,totalpopover16,laborforceparticipationrate,unemploymentrate,popabove20underpoverty,hascomputerPerc,dialupPerc,broadbandPerc,nointernetPerc,nocomputerPerc
1400000US53033020300,"Census Tract 203, King County, Washington",3146,2872,17,2703,152,274,5976,68.6,5.9,8.5,91.29052765,0.540368722,85.91862683,4.831532104,8.709472346
1400000US53033020401,"Census Tract 204.01, King County, Washington",1475,1421,0,1374,47,54,3126,71.8,5.1,12,96.33898305,0,93.15254237,3.186440678,3.661016949
1400000US53033020402,"Census Tract 204.02, King County, Washington",2234,2133,0,2050,83,101,4450,71.5,4.4,17.3,95.4789615,0,91.76365264,3.715308863,4.521038496
1400000US53033020500,"Census Tract 205, King County, Washington",2844,2728,0,2532,196,116,5577,71,6.2,19.6,95.92123769,0,89.02953586,6.891701828,4.078762307
1400000US53033020600,"Census Tract 206, King County, Washington",1318,1227,11,1184,32,91,2839,71.2,1.3,60,93.09559939,0.834597876,89.83308042,2.427921093,6.904400607
1400000US53033020700,"Census Tract 207, King County, Washington",1508,1424,0,1308,116,84,3243,68.3,5.5,17.5,94.42970822,0,86.73740053,7.692307692,5.570291777
1400000US53033020800,"Census Tract 208, King County, Washington",1778,1646,0,1596,50,132,3526,65.3,5.4,75,92.57592801,0,89.76377953,2.812148481,7.424071991
1400000US53033020900,"Census Tract 209, King County, Washington",1411,1319,3,1219,97,92,3149,67.3,6.1,28.3,93.47980156,0.212615167,86.39262934,6.874557052,6.520198441
1400000US53033021000,"Census Tract 210, King County, Washington",2158,2000,0,1950,50,158,5095,68,1.4,11.4,92.67840593,0,90.36144578,2.316960148,7.321594069
1400000US53033021100,"Census Tract 211, King County, Washington",1590,1528,0,1392,136,62,3745,69.3,3.9,34.6,96.10062893,0,87.54716981,8.553459119,3.899371069
1400000US53033021300,"Census Tract 213, King County, Washington",1756,1712,11,1652,49,44,3425,66.4,4.2,11,97.49430524,0.62642369,94.07744875,2.790432802,2.505694761
1400000US53033021400,"Census Tract 214, King County, Washington",1450,1431,9,1388,34,19,3230,64.9,5.6,46.3,98.68965517,0.620689655,95.72413793,2.344827586,1.310344828
1400000US53033021500,"Census Tract 215, King County, Washington",1744,1688,7,1620,61,56,3797,69.8,4.5,12.7,96.78899083,0.401376147,92.88990826,3.497706422,3.211009174
1400000US53033021600,"Census Tract 216, King County, Washington",1849,1815,10,1768,37,34,4194,72.1,4.1,10.4,98.1611682,0.540832883,95.61925365,2.001081666,1.838831801
1400000US53033021700,"Census Tract 217, King County, Washington",3651,3382,13,3282,87,269,6960,70.8,7.3,43.7,92.63215557,0.356066831,89.89317995,2.382908792,7.367844426
1400000US53033021802,"Census Tract 218.02, King County, Washington",2279,2177,0,2074,103,102,4500,76.3,5.2,17.4,95.52435279,0,91.00482668,4.519526108,4.475647214
1400000US53033021803,"Census Tract 218.03, King County, Washington",2090,2014,17,1900,97,76,3968,69.5,3.8,0,96.36363636,0.813397129,90.90909091,4.641148325,3.636363636
1400000US53033021804,"Census Tract 218.04, King County, Washington",1945,1836,10,1720,106,109,4245,66.6,3.9,4.1,94.39588689,0.514138817,88.43187661,5.449871465,5.604113111
1400000US53033021903,"Census Tract 219.03, King County, Washington",2501,2386,0,2273,113,115,5102,67.4,3.1,24.2,95.40183926,0,90.88364654,4.518192723,4.598160736
1400000US53033021904,"Census Tract 219.04, King County, Washington",1793,1708,8,1620,80,85,3967,71.2,2.1,29.5,95.25934189,0.446179587,90.35136642,4.461795873,4.740658115
1400000US53033021905,"Census Tract 219.05, King County, Washington",2238,2212,0,2145,67,26,4529,74.1,5.2,0,98.83824844,0,95.84450402,2.993744415,1.161751564
1400000US53033021906,"Census Tract 219.06, King County, Washington",1717,1675,0,1602,73,42,3469,71.2,3.9,0,97.55387303,0,93.3022714,4.251601631,2.446126966
1400000US53033022001,"Census Tract 220.01, King County, Washington",2323,2007,18,1879,110,316,4681,64.8,5.4,0,86.39690056,0.774860095,80.88678433,4.735256134,13.60309944
1400000US53033022003,"Census Tract 220.03, King County, Washington",1933,1891,0,1782,109,42,4167,74,4.5,58.6,97.82721159,0,92.18830833,5.638903259,2.172788412
1400000US53033022005,"Census Tract 220.05, King County, Washington",2195,2156,0,2109,47,39,3969,73.1,2.3,6.1,98.22323462,0,96.08200456,2.141230068,1.776765376
1400000US53033022006,"Census Tract 220.06, King County, Washington",1747,1709,8,1584,117,38,3278,67.6,3.6,1.2,97.82484259,0.457927876,90.66971952,6.697195192,2.175157413
1400000US53033022101,"Census Tract 221.01, King County, Washington",1795,1709,9,1640,60,86,3841,64.1,3.1,10,95.20891365,0.501392758,91.36490251,3.342618384,4.791086351
1400000US53033022102,"Census Tract 221.02, King County, Washington",2384,2344,0,2297,47,40,4938,71.1,3.5,0,98.32214765,0,96.35067114,1.97147651,1.677852349
1400000US53033022201,"Census Tract 222.01, King County, Washington",1700,1690,0,1626,64,10,3657,73.5,6,7.7,99.41176471,0,95.64705882,3.764705882,0.588235294
1400000US53033022202,"Census Tract 222.02, King County, Washington",3401,3302,50,3095,157,99,6353,76.8,4.8,27.1,97.08909144,1.470155837,91.00264628,4.616289327,2.910908556
